ax,ay,az,temp
-3.28,-7.95,-5.72,32.8
-2.7,-9.17,-6.15,32.74
-0.27,-8.82,-5.61,32.77
-2.0,-7.17,-3.77,32.73
-1.83,-6.47,-7.05,32.75
-4.47,-7.69,-4.19,32.73
0.63,-11.92,-2.25,32.74
-1.46,-9.93,-0.45,32.77
-3.37,-8.61,-2.03,32.71
-1.92,-5.74,-8.19,32.72
-4.16,-5.39,-9.18,32.73
-1.41,-11.58,-0.79,32.75
-1.49,-9.27,-0.17,32.76
-2.84,-9.32,-0.35,32.76
-2.95,-5.94,-7.13,32.77
-4.83,-5.81,-7.86,32.77
-2.05,-11.24,-2.83,32.8
-1.26,-11.21,1.95,32.72
-3.19,-9.12,-0.68,32.79
-3.52,-7.13,-5.16,32.78
-4.62,-7.52,-6.24,32.75
-2.74,-11.03,-3.45,32.76
-0.41,-6.78,-4.22,32.7
0.66,-5.14,-6.27,32.79
-3.54,-5.75,-7.0,32.69
-2.27,-11.43,0.11,32.73
1.76,-12.29,-2.83,32.73
-0.25,-9.14,-0.87,32.77
0.34,-5.57,-6.32,32.75
-1.7,-7.06,-5.56,32.72
-0.7,-12.74,-0.34,32.76
2.19,-13.74,-1.4,32.75
-1.02,-8.88,-2.03,32.74
0.35,-4.77,-7.32,32.73
-2.46,-7.68,-6.1,32.78
-2.71,-12.31,1.37,32.72
0.02,-12.58,-0.54,32.76
-0.05,-8.37,-2.85,32.74
0.79,-5.5,-8.02,32.71
-2.92,-7.44,-3.48,32.73
-0.39,-13.36,0.65,32.77
-2.6,-9.08,-4.82,32.74
-2.88,-8.64,-8.01,32.74
-0.77,-7.78,-6.16,32.77
1.01,-9.49,-5.02,32.74
-3.24,-11.53,0.21,32.79
-2.83,-10.47,-2.59,32.76
-2.19,-9.27,-6.62,32.74
-1.4,-6.89,-7.25,32.74
1.21,-8.53,-4.24,32.74
-1.52,-11.16,-0.77,32.72
-2.67,-10.64,-2.41,32.73
-3.8,-8.52,-6.15,32.74
0.14,-8.26,-8.44,32.72
0.82,-9.37,-4.06,32.75
-0.41,-11.37,-0.71,32.76
-1.85,-10.28,-2.44,32.8
-2.59,-8.46,-7.09,32.72
-0.23,-6.95,-7.11,32.75
2.71,-9.93,-4.28,32.73
-2.31,-8.28,-1.91,32.72
-0.85,-6.76,-5.08,32.79
-4.69,-5.91,-7.23,32.79
-3.57,-9.78,-0.86,32.7
2.08,-13.58,-2.29,32.75
-0.81,-9.02,-0.22,32.77
-1.48,-3.92,-6.17,32.75
-2.29,-4.94,-6.92,32.8
-1.57,-11.86,0.11,32.77
-0.28,-11.44,0.72,32.74
-0.17,-11.21,-1.3,32.76
1.1,-5.44,-5.8,32.73
-2.25,-6.68,-5.7,32.76
-2.65,-10.17,-0.51,32.71
1.43,-11.96,-0.68,32.73
-1.0,-9.51,-1.2,32.77
0.87,-5.83,-6.44,32.74
-2.55,-6.32,-5.47,32.74
-1.69,-10.92,-0.48,32.73
-3.16,-7.95,-6.48,32.74
-3.72,-8.09,-9.18,32.74
0.53,-10.11,-5.17,32.7
-1.15,-11.33,-0.69,32.72
-3.57,-10.32,-2.58,32.77
-2.06,-8.42,-6.96,32.79
-4.19,-8.48,-6.55,32.77
0.91,-10.27,-4.21,32.71
0.84,-11.36,-2.64,32.75
-2.86,-10.71,-1.24,32.73
-2.92,-8.09,-7.29,32.72
-4.13,-8.08,-6.76,32.77
0.11,-10.54,-4.18,32.72
-1.29,-11.41,-0.04,32.74
-0.85,-10.89,-2.64,32.71
-1.58,-6.42,-9.0,32.73
-4.43,-8.88,-6.63,32.75
2.09,-9.04,-5.58,32.7
0.66,-11.36,-0.93,32.72
-2.8,-9.57,-3.54,32.72
-1.69,-11.23,-3.28,32.69
0.37,-12.55,-0.31,32.74
-0.88,-10.5,-1.77,32.78
-2.79,-5.07,-7.19,32.74
-5.22,-8.27,-7.12,32.72
-1.5,-10.15,-3.38,32.68
-0.51,-13.28,-1.77,32.79
-2.3,-9.19,-2.22,32.74
-3.34,-5.4,-7.54,32.74
-3.13,-10.1,-5.56,32.79
-2.66,-12.02,-2.58,32.73
-0.04,-11.79,-2.39,32.72
0.32,-8.88,-4.41,32.76
-4.91,-4.84,-8.13,32.74
-5.32,-6.84,-7.61,32.72
-0.4,-11.83,-3.93,32.75
-0.46,-11.17,-0.53,32.71
-2.04,-8.77,-2.49,32.72
-4.53,-7.81,-6.03,32.75
-2.42,-9.74,-5.16,32.71
0.53,-12.25,-2.28,32.71
-2.19,-10.7,0.79,32.7
-2.25,-9.72,-4.92,32.73
-4.9,-5.16,-8.9,32.72
-3.1,-9.85,-4.02,32.74
1.49,-12.96,-2.01,32.75
-2.09,-10.32,0.22,32.74
-2.38,-8.32,-5.44,32.73
-3.57,-7.17,-8.43,32.69
-2.27,-11.38,-2.12,32.73
1.0,-11.48,-2.75,32.73
-0.42,-10.11,-0.93,32.75
-2.59,-5.14,-6.76,32.79
-4.88,-6.74,-7.46,32.71
-1.11,-11.83,-3.02,32.69
1.3,-11.41,-1.28,32.78
0.52,-11.29,1.52,32.68
-1.67,-6.77,-4.95,32.74
-4.85,-6.17,-7.49,32.74
-2.05,-10.56,-4.23,32.77
1.64,-12.6,-1.26,32.77
-1.88,-10.25,-0.39,32.71
-0.89,-6.21,-5.94,32.75
-1.74,-8.26,-7.68,32.75
-1.85,-10.83,-2.19,32.71
0.39,-12.8,-1.61,32.7
0.24,-9.78,-2.13,32.73
-2.67,-5.62,-6.54,32.7
-4.52,-7.63,-6.19,32.73
-2.85,-10.98,-1.99,32.76
-0.04,-12.0,-0.6,32.7
-2.1,-10.75,-1.07,32.7
-2.15,-6.39,-6.81,32.75
-4.09,-7.44,-5.64,32.73
-2.8,-10.38,-2.03,32.74
0.77,-12.6,-1.0,32.74
0.59,-9.2,-1.39,32.73
-2.88,-5.3,-7.14,32.7
-4.69,-6.29,-6.16,32.71
-1.1,-11.46,-1.98,32.7
-0.22,-11.87,-0.91,32.71
-1.81,-8.21,-1.71,32.74
-2.91,-5.81,-6.74,32.71
-3.78,-7.84,-6.8,32.78
-1.59,-12.59,-1.18,32.77
2.05,-12.3,-2.25,32.71
-1.67,-7.74,-2.57,32.77
-2.97,-4.95,-7.71,32.72
-3.68,-6.32,-8.13,32.73
-2.89,-11.46,-0.96,32.71
0.65,-12.7,-0.43,32.74
-2.0,-9.47,-2.04,32.75
-3.12,-4.74,-7.78,32.77
-3.32,-7.24,-6.06,32.73
-0.38,-12.09,-2.11,32.68
-0.5,-10.65,0.02,32.74
-1.15,-10.14,-2.05,32.77
-1.23,-3.78,-7.52,32.72
-4.31,-7.36,-5.46,32.69
-2.81,-11.62,-1.36,32.71
-0.15,-11.16,0.14,32.73
-0.33,-9.09,-2.41,32.72
-1.73,-4.59,-7.76,32.72
